"product_id","variant_id","product_name","category","subcategory","color","image","price","description"
"p1","p1v1","Koshki Floral Kurthi","Women","Kurthi","Red","/optimized/koshki_red.jpg","2299","A-line floral kurthi with clean neckline, soft handfeel, and everyday comfort fit for casual and semi-formal wear."
"p1","p1v2","Koshki Floral Kurthi","Women","Kurthi","Green","/optimized/koshki_green.jpg","2299","A-line floral kurthi with clean neckline, soft handfeel, and everyday comfort fit for casual and semi-formal wear."
"p1","p1v3","Koshki Floral Kurthi","Women","Kurthi","Maroon","/optimized/koshki_maroon.jpg","2399","A-line floral kurthi with clean neckline, soft handfeel, and everyday comfort fit for casual and semi-formal wear."
"p1","p1v4","Koshki Floral Kurthi","Women","Kurthi","Black","/optimized/koshki_black.jpg","2399","A-line floral kurthi with clean neckline, soft handfeel, and everyday comfort fit for casual and semi-formal wear."
"p1","p1v5","Koshki Floral Kurthi","Women","Kurthi","Rani Pink","/optimized/koshki_rani_pink.jpg","2399","A-line floral kurthi with clean neckline, soft handfeel, and everyday comfort fit for casual and semi-formal wear."
"p1","p1v6","Koshki Floral Kurthi","Women","Kurthi","Brand Red","/optimized/koshki_brand_red.jpg","2499","A-line floral kurthi with clean neckline, soft handfeel, and everyday comfort fit for casual and semi-formal wear."
"p2","p2v1","Bridge Town Party Set","Women","Party Wear","Red","/optimized/bridge_town_red.jpg","3199","Premium embroidered party set with rich finish and elegant drape for wedding functions and festive gatherings."
"p2","p2v2","Bridge Town Party Set","Women","Party Wear","Purple","/optimized/bridge_town_purple.jpg","3299","Premium embroidered party set with rich finish and elegant drape for wedding functions and festive gatherings."
"p2","p2v3","Bridge Town Party Set","Women","Party Wear","Lemon Green","/optimized/bridge_town_lemon_green.jpg","3299","Premium embroidered party set with rich finish and elegant drape for wedding functions and festive gatherings."
"p3","p3v1","Cazora Comfort Fit","Women","Casual","Maroon","/optimized/cazora_maroon.jpg","2499","Straight-cut casual set with smooth fall, lightweight construction, and all-day movement comfort."
"p3","p3v2","Cazora Comfort Fit","Women","Casual","Peach","/optimized/cazora_peach.jpg","2499","Straight-cut casual set with smooth fall, lightweight construction, and all-day movement comfort."
"p3","p3v3","Cazora Comfort Fit","Women","Casual","Sky Blue","/optimized/cazora_skyblue.jpg","2599","Straight-cut casual set with smooth fall, lightweight construction, and all-day movement comfort."
"p4","p4v1","Portway Signature Set","Women","Cord Set","Light Maroon","/optimized/portway_light_maroon.jpg","3499","Refined cord set with structured paneling and polished finishing for festive and smart-casual occasions."
"p4","p4v2","Portway Signature Set","Women","Cord Set","Dark Maroon","/optimized/portway_dark_maroon.jpg","3599","Refined cord set with structured paneling and polished finishing for festive and smart-casual occasions."
"p4","p4v3","Portway Signature Set","Women","Cord Set","Red","/optimized/portway_red.jpg","3499","Refined cord set with structured paneling and polished finishing for festive and smart-casual occasions."
"p4","p4v4","Portway Signature Set","Women","Cord Set","Dark Maroon Rich","/optimized/bran_portway_dark_maroon.jpg","3699","Refined cord set with structured paneling and polished finishing for festive and smart-casual occasions."
"p4","p4v5","Portway Signature Set","Women","Cord Set","Red Maroon","/optimized/brand_porway_red_maroon.jpg","3699","Refined cord set with structured paneling and polished finishing for festive and smart-casual occasions."
"p4","p4v6","Portway Signature Set","Women","Cord Set","XL Edition","/optimized/portway_xl.jpg","3799","Refined cord set with structured paneling and polished finishing for festive and smart-casual occasions."
"p5","p5v1","Linen Cotton Cord Set","Women","Cord Set","Pink","/optimized/cord_set_linen_cotton_pink.jpg","2799","Breathable linen-cotton cord set with minimal styling, suitable for office, travel, and daily wear."
"p5","p5v2","Linen Cotton Cord Set","Women","Cord Set","Light Blue","/optimized/cord_set_linen_cotton_light_blue.jpg","2799","Breathable linen-cotton cord set with minimal styling, suitable for office, travel, and daily wear."
"p5","p5v3","Linen Cotton Cord Set","Women","Cord Set","Orange","/optimized/cordset_cotton_orange.jpg","2799","Breathable linen-cotton cord set with minimal styling, suitable for office, travel, and daily wear."
"p6","p6v1","Woolen Kurtha Winter Set","Winter Wear","Kurtha Set","Navy Blue","/optimized/woolen_kurtha_set_kud_blue.jpg","3899","Warm woolen kurtha set with insulated inner comfort and elegant silhouette for winter outings and events."
"p6","p6v2","Woolen Kurtha Winter Set","Winter Wear","Kurtha Set","Charcoal","/optimized/woolen_kurtha_set_kud.jpg","3899","Warm woolen kurtha set with insulated inner comfort and elegant silhouette for winter outings and events."
"p6","p6v3","Woolen Kurtha Winter Set","Winter Wear","Kurtha Set","Classic","/optimized/modek_woolen_kurtha_set.jpg","3999","Warm woolen kurtha set with insulated inner comfort and elegant silhouette for winter outings and events."
"p7","p7v1","Woolen Pant Essential","Winter Wear","Bottom Wear","Grey","/optimized/woolen_pant_grey.jpg","1899","Thermal-friendly woolen pants with tapered fit and stretch waistband for day-long winter comfort."
"p7","p7v2","Woolen Pant Essential","Winter Wear","Bottom Wear","White","/optimized/woolen_pant_white.jpg","1899","Thermal-friendly woolen pants with tapered fit and stretch waistband for day-long winter comfort."
"p8","p8v1","Dola Silk Festive","Festival","Silk","Gold","/optimized/dola_silk.jpg","4299","Festive dola silk design with glossy finish, handcrafted details, and premium occasion-ready look."
"p8","p8v2","Dola Silk Festive","Festival","Silk","Yellow","/optimized/dola_silk_yellow.jpg","4299","Festive dola silk design with glossy finish, handcrafted details, and premium occasion-ready look."
"p8","p8v3","Dola Silk Festive","Festival","Silk","Orange","/optimized/silk_orange.jpg","4299","Festive dola silk design with glossy finish, handcrafted details, and premium occasion-ready look."
"p9","p9v1","Velvet Evening Series","Festival","Velvet","Blue","/optimized/fabric_velvet_blue.jpg","4599","Rich velvet eveningwear with smooth texture and statement color palette for premium festive styling."
